number,season,episode,airdate,title,tvmaze link
# Linea de comentario
612,28,16,05 Mar 17,"Kamp Krustier","https://www.tvmaze.com/episodes/1067420/the-simpsons-28x16-kamp-krustier"
613,28,17,12 Mar 17,"22 for 30","https://www.tvmaze.com/episodes/1075112/the-simpsons-28x17-22-for-30"
614,28,18,19 Mar 17,"A Father's Watch","https://www.tvmaze.com/episodes/1080731/the-simpsons-28x18-a-fathers-watch"
615,28,19,02 Apr 17,"Caper Chase","https://www.tvmaze.com/episodes/1096414/the-simpsons-28x19-caper-chase"
616,28,20,30 Apr 17,"Looking for Mr. Goodbart","https://www.tvmaze.com/episodes/1107597/the-simpsons-28x20-looking-for-mr-goodbart"
617,28,21,07 May 17,"Moho House","https://www.tvmaze.com/episodes/1107598/the-simpsons-28x21-moho-house"
618,28,22,21 May 17,"Dogtown","https://www.tvmaze.com/episodes/1107599/the-simpsons-28x22-dogtown"
619,29,1,01 Oct 17,"The Serfsons","https://www.tvmaze.com/episodes/1223232/the-simpsons-29x01-the-serfsons"
620,29,2,08 Oct 17,"Springfield Splendor","https://www.tvmaze.com/episodes/1279155/the-simpsons-29x02-springfield-splendor"
621,29,3,15 Oct 17,"Whistler's Father","https://www.tvmaze.com/episodes/1312214/the-simpsons-29x03-whistlers-father"
622,29,4,22 Oct 17,"Treehouse of Horror XXVIII","https://www.tvmaze.com/episodes/1312331/the-simpsons-29x04-treehouse-of-horror-xxviii"
623,29,5,05 Nov 17,"Grampy Can Ya Hear Me","https://www.tvmaze.com/episodes/1328854/the-simpsons-29x05-grampy-can-ya-hear-me"
624,29,6,12 Nov 17,"The Old Blue Mayor She Ain't What She Used to Be","https://www.tvmaze.com/episodes/1335322/the-simpsons-29x06-the-old-blue-mayor-she-aint-what-she-used-to-be"
625,29,7,19 Nov 17,"Singin' in the Lane","https://www.tvmaze.com/episodes/1340988/the-simpsons-29x07-singin-in-the-lane"
626,29,8,03 Dec 17,"Mr. Lisa's Opus","https://www.tvmaze.com/episodes/1351022/the-simpsons-29x08-mr-lisas-opus"
627,29,9,10 Dec 17,"Gone Boy","https://www.tvmaze.com/episodes/1346530/the-simpsons-29x09-gone-boy"
628,29,10,07 Jan 18,"Haw-Haw Land","https://www.tvmaze.com/episodes/1360704/the-simpsons-29x10-haw-haw-land"
629,29,11,14 Jan 18,"Frink Gets Testy","https://www.tvmaze.com/episodes/1360705/the-simpsons-29x11-frink-gets-testy"
630,29,12,18 Mar 18,"Homer is Where the Art Isn't","https://www.tvmaze.com/episodes/1398636/the-simpsons-29x12-homer-is-where-the-art-isnt"
631,29,13,25 Mar 18,"3 Scenes Plus a Tag from a Marriage","https://www.tvmaze.com/episodes/1388530/the-simpsons-29x13-3-scenes-plus-a-tag-from-a-marriage"
632,29,14,01 Apr 18,"Fears of a Clown","https://www.tvmaze.com/episodes/1408446/the-simpsons-29x14-fears-of-a-clown"
633,29,15,08 Apr 18,"No Good Read Goes Unpunished","https://www.tvmaze.com/episodes/1402825/the-simpsons-29x15-no-good-read-goes-unpunished"
634,29,16,15 Apr 18,"King Leer","https://www.tvmaze.com/episodes/1418935/the-simpsons-29x16-king-leer"
635,29,17,22 Apr 18,"Lisa Gets the Blues","https://www.tvmaze.com/episodes/1416173/the-simpsons-29x17-lisa-gets-the-blues"
636,29,18,29 Apr 18,"Forgive and Regret","https://www.tvmaze.com/episodes/1436309/the-simpsons-29x18-forgive-and-regret"
637,29,19,06 May 18,"Left Behind","https://www.tvmaze.com/episodes/1436310/the-simpsons-29x19-left-behind"
638,29,20,13 May 18,"Throw Grampa from the Dane","https://www.tvmaze.com/episodes/1436311/the-simpsons-29x20-throw-grampa-from-the-dane"
639,29,21,20 May 18,"Flanders' Ladder","https://www.tvmaze.com/episodes/1436312/the-simpsons-29x21-flanders-ladder"
640,30,1,30 Sep 18,"Bart's Not Dead","https://www.tvmaze.com/episodes/1486781/the-simpsons-30x01-barts-not-dead"
641,30,2,07 Oct 18,"Heartbreak Hotel","https://www.tvmaze.com/episodes/1528795/the-simpsons-30x02-heartbreak-hotel"
642,30,3,14 Oct 18,"My Way or the Highway to Heaven","https://www.tvmaze.com/episodes/1528796/the-simpsons-30x03-my-way-or-the-highway-to-heaven"
643,30,4,21 Oct 18,"Treehouse of Horror XXIX","https://www.tvmaze.com/episodes/1528797/the-simpsons-30x04-treehouse-of-horror-xxix"
644,30,5,04 Nov 18,"Baby You Can't Drive My Car","https://www.tvmaze.com/episodes/1544184/the-simpsons-30x05-baby-you-cant-drive-my-car"
645,30,6,11 Nov 18,"From Russia Without Love","https://www.tvmaze.com/episodes/1548324/the-simpsons-30x06-from-russia-without-love"
646,30,7,18 Nov 18,"Werking Mom","https://www.tvmaze.com/episodes/1552433/the-simpsons-30x07-werking-mom"
647,30,8,25 Nov 18,"Krusty the Clown","https://www.tvmaze.com/episodes/1553223/the-simpsons-30x08-krusty-the-clown"
648,30,9,02 Dec 18,"Daddicus Finch","https://www.tvmaze.com/episodes/1553224/the-simpsons-30x09-daddicus-finch"
649,30,10,09 Dec 18,"'Tis the 30th Season","https://www.tvmaze.com/episodes/1553225/the-simpsons-30x10-tis-the-30th-season"
650,30,11,06 Jan 19,"Mad About the Toy","https://www.tvmaze.com/episodes/1577397/the-simpsons-30x11-mad-about-the-toy"
651,30,12,13 Jan 19,"The Girl on the Bus","https://www.tvmaze.com/episodes/1577398/the-simpsons-30x12-the-girl-on-the-bus"
652,30,13,10 Feb 19,"I'm Dancing as Fat as I Can","https://www.tvmaze.com/episodes/1592852/the-simpsons-30x13-im-dancing-as-fat-as-i-can"
653,30,14,17 Feb 19,"The Clown Stays in the Picture","https://www.tvmaze.com/episodes/1596123/the-simpsons-30x14-the-clown-stays-in-the-picture"
654,30,15,03 Mar 19,"101 Mitigations","https://www.tvmaze.com/episodes/1610363/the-simpsons-30x15-101-mitigations"
655,30,16,10 Mar 19,"I Want You (She's So Heavy)","https://www.tvmaze.com/episodes/1610370/the-simpsons-30x16-i-want-you-shes-so-heavy"
656,30,17,17 Mar 19,"E My Sports","https://www.tvmaze.com/episodes/1613237/the-simpsons-30x17-e-my-sports"
657,30,18,24 Mar 19,"Bart vs. Itchy & Scratchy","https://www.tvmaze.com/episodes/1616515/the-simpsons-30x18-bart-vs-itchy-scratchy"
658,30,19,31 Mar 19,"Girl's in the Band","https://www.tvmaze.com/episodes/1619573/the-simpsons-30x19-girls-in-the-band"
659,30,20,07 Apr 19,"I'm Just a Girl Who Can't Say D'oh","https://www.tvmaze.com/episodes/1628804/the-simpsons-30x20-im-just-a-girl-who-cant-say-doh"
660,30,21,28 Apr 19,"D'oh Canada","https://www.tvmaze.com/episodes/1634960/the-simpsons-30x21-doh-canada"
661,30,22,05 May 19,"Woo-Hoo Dunnit","https://www.tvmaze.com/episodes/1636168/the-simpsons-30x22-woo-hoo-dunnit"
662,30,23,12 May 19,"Crystal Blue-Haired Persuasion","https://www.tvmaze.com/episodes/1636169/the-simpsons-30x23-crystal-blue-haired-persuasion"
S21,21,0,10 Jan 10,"The Simpsons 20th Anniversary Special - In 3-D! on Ice!","https://www.tvmaze.com/episodes/5554/the-simpsons-s21-special-the-simpsons-20th-anniversary-special-in-3-d-on-ice"
S24,24,0,19 Oct 12,"Stand Up to Cancer","https://www.tvmaze.com/episodes/5555/the-simpsons-s24-special-stand-up-to-cancer"
S18,18,0,21 Jul 07,"The Simpsons Movie (90 min)","https://www.tvmaze.com/episodes/109686/the-simpsons-s18-special-the-simpsons-movie"
S24,24,0,17 Feb 13,"The Longest Daycare","https://www.tvmaze.com/episodes/109687/the-simpsons-s24-special-the-longest-daycare"
S29,29,0,22 Oct 17,"Springfield of Dreams: The Legend of Homer Simpson (60 min)","https://www.tvmaze.com/episodes/1338752/the-simpsons-s29-special-springfield-of-dreams-the-legend-of-homer-simpson"

		
