number,season,episode,airdate,title,tvmaze link
# Linea de comentario
121,6,18,05 Mar 95,"A Star is Burns","https://www.tvmaze.com/episodes/5118/the-simpsons-6x18-a-star-is-burns"
122,6,19,19 Mar 95,"Lisa's Wedding","https://www.tvmaze.com/episodes/5119/the-simpsons-6x19-lisas-wedding"
123,6,20,09 Apr 95,"Two Dozen and One Greyhounds","https://www.tvmaze.com/episodes/5120/the-simpsons-6x20-two-dozen-and-one-greyhounds"
124,6,21,16 Apr 95,"The PTA Disbands","https://www.tvmaze.com/episodes/5121/the-simpsons-6x21-the-pta-disbands"
125,6,22,30 Apr 95,"Round Springfield","https://www.tvmaze.com/episodes/5122/the-simpsons-6x22-round-springfield"
126,6,23,07 May 95,"The Springfield Connection","https://www.tvmaze.com/episodes/5123/the-simpsons-6x23-the-springfield-connection"
127,6,24,14 May 95,"Lemon of Troy","https://www.tvmaze.com/episodes/5124/the-simpsons-6x24-lemon-of-troy"
128,6,25,21 May 95,"Who Shot Mr. Burns? (1)","https://www.tvmaze.com/episodes/5125/the-simpsons-6x25-who-shot-mr-burns-1"
129,7,1,17 Sep 95,"Who Shot Mr. Burns? (2)","https://www.tvmaze.com/episodes/5126/the-simpsons-7x01-who-shot-mr-burns-2"
130,7,2,24 Sep 95,"Radioactive Man","https://www.tvmaze.com/episodes/5127/the-simpsons-7x02-radioactive-man"
131,7,3,01 Oct 95,"Home Sweet Homediddly-Dum-Doodily","https://www.tvmaze.com/episodes/5128/the-simpsons-7x03-home-sweet-homediddly-dum-doodily"
132,7,4,08 Oct 95,"Bart Sells His Soul","https://www.tvmaze.com/episodes/5129/the-simpsons-7x04-bart-sells-his-soul"
133,7,5,15 Oct 95,"Lisa the Vegetarian","https://www.tvmaze.com/episodes/5130/the-simpsons-7x05-lisa-the-vegetarian"
134,7,6,29 Oct 95,"Treehouse of Horror VI","https://www.tvmaze.com/episodes/5131/the-simpsons-7x06-treehouse-of-horror-vi"
135,7,7,05 Nov 95,"King-Size Homer","https://www.tvmaze.com/episodes/5132/the-simpsons-7x07-king-size-homer"
136,7,8,19 Nov 95,"Mother Simpson","https://www.tvmaze.com/episodes/5133/the-simpsons-7x08-mother-simpson"
137,7,9,26 Nov 95,"Sideshow Bob's Last Gleaming","https://www.tvmaze.com/episodes/5134/the-simpsons-7x09-sideshow-bobs-last-gleaming"
138,7,10,03 Dec 95,"The Simpsons 138th Episode Spectacular","https://www.tvmaze.com/episodes/5135/the-simpsons-7x10-the-simpsons-138th-episode-spectacular"
139,7,11,17 Dec 95,"Marge Be Not Proud","https://www.tvmaze.com/episodes/5136/the-simpsons-7x11-marge-be-not-proud"
140,7,12,07 Jan 96,"Team Homer","https://www.tvmaze.com/episodes/5137/the-simpsons-7x12-team-homer"
141,7,13,14 Jan 96,"Two Bad Neighbors","https://www.tvmaze.com/episodes/5138/the-simpsons-7x13-two-bad-neighbors"
142,7,14,04 Feb 96,"Scenes from the Class Struggle in Springfield","https://www.tvmaze.com/episodes/5139/the-simpsons-7x14-scenes-from-the-class-struggle-in-springfield"
143,7,15,11 Feb 96,"Bart the Fink","https://www.tvmaze.com/episodes/5140/the-simpsons-7x15-bart-the-fink"
144,7,16,18 Feb 96,"Lisa the Iconoclast","https://www.tvmaze.com/episodes/5141/the-simpsons-7x16-lisa-the-iconoclast"
145,7,17,25 Feb 96,"Homer the Smithers","https://www.tvmaze.com/episodes/5142/the-simpsons-7x17-homer-the-smithers"
146,7,18,17 Mar 96,"The Day the Violence Died","https://www.tvmaze.com/episodes/5143/the-simpsons-7x18-the-day-the-violence-died"
147,7,19,24 Mar 96,"A Fish Called Selma","https://www.tvmaze.com/episodes/5144/the-simpsons-7x19-a-fish-called-selma"
148,7,20,31 Mar 96,"Bart on the Road","https://www.tvmaze.com/episodes/5145/the-simpsons-7x20-bart-on-the-road"
149,7,21,14 Apr 96,"22 Short Films About Springfield","https://www.tvmaze.com/episodes/5146/the-simpsons-7x21-22-short-films-about-springfield"
150,7,22,28 Apr 96,"Raging Abe Simpson and His Grumbling Grandson in "The Curse of the Flying Hellfish"","https://www.tvmaze.com/episodes/5147/the-simpsons-7x22-raging-abe-simpson-and-his-grumbling-grandson-in-the-curse-of-the-flying-hellfish"
151,7,23,05 May 96,"Much Apu About Nothing","https://www.tvmaze.com/episodes/5148/the-simpsons-7x23-much-apu-about-nothing"
152,7,24,19 May 96,"Homerpalooza","https://www.tvmaze.com/episodes/5149/the-simpsons-7x24-homerpalooza"
153,7,25,19 May 96,"Summer of 4 ft. 2","https://www.tvmaze.com/episodes/5150/the-simpsons-7x25-summer-of-4-ft-2"
154,8,1,27 Oct 96,"Treehouse of Horror VII","https://www.tvmaze.com/episodes/5151/the-simpsons-8x01-treehouse-of-horror-vii"
155,8,2,03 Nov 96,"You Only Move Twice","https://www.tvmaze.com/episodes/5152/the-simpsons-8x02-you-only-move-twice"
156,8,3,10 Nov 96,"The Homer They Fall","https://www.tvmaze.com/episodes/5153/the-simpsons-8x03-the-homer-they-fall"
157,8,4,17 Nov 96,"Burns, Baby Burns","https://www.tvmaze.com/episodes/5154/the-simpsons-8x04-burns-baby-burns"
158,8,5,24 Nov 96,"Bart After Dark","https://www.tvmaze.com/episodes/5155/the-simpsons-8x05-bart-after-dark"
159,8,6,01 Dec 96,"A Milhouse Divided","https://www.tvmaze.com/episodes/5156/the-simpsons-8x06-a-milhouse-divided"
160,8,7,15 Dec 96,"Lisa's Date with Density","https://www.tvmaze.com/episodes/5157/the-simpsons-8x07-lisas-date-with-density"
161,8,8,29 Dec 96,"Hurricane Neddy","https://www.tvmaze.com/episodes/5158/the-simpsons-8x08-hurricane-neddy"
162,8,9,05 Jan 97,"El Viaje de Nuestro Jomer (The Mysterious Voyage of Homer)","https://www.tvmaze.com/episodes/5159/the-simpsons-8x09-el-viaje-de-nuestro-jomer-the-mysterious-voyage-of-homer"
163,8,10,12 Jan 97,"The Springfield Files","https://www.tvmaze.com/episodes/5160/the-simpsons-8x10-the-springfield-files"
164,8,11,19 Jan 97,"The Twisted World of Marge Simpson","https://www.tvmaze.com/episodes/5161/the-simpsons-8x11-the-twisted-world-of-marge-simpson"
165,8,12,02 Feb 97,"Mountain of Madness","https://www.tvmaze.com/episodes/5162/the-simpsons-8x12-mountain-of-madness"
166,8,13,07 Feb 97,"Simpsoncalifragilisticexpiala (Annoyed Grunt) cious","https://www.tvmaze.com/episodes/5163/the-simpsons-8x13-simpsoncalifragilisticexpiala-annoyed-grunt-cious"
167,8,14,09 Feb 97,"The Itchy & Scratchy & Poochie Show","https://www.tvmaze.com/episodes/5164/the-simpsons-8x14-the-itchy-scratchy-poochie-show"
168,8,15,16 Feb 97,"Homer's Phobia","https://www.tvmaze.com/episodes/5165/the-simpsons-8x15-homers-phobia"
169,8,16,23 Feb 97,"Brother from Another Series","https://www.tvmaze.com/episodes/5166/the-simpsons-8x16-brother-from-another-series"
170,8,17,02 Mar 97,"My Sister, My Sitter","https://www.tvmaze.com/episodes/5167/the-simpsons-8x17-my-sister-my-sitter"
171,8,18,16 Mar 97,"Homer vs. the Eighteenth Amendment","https://www.tvmaze.com/episodes/5168/the-simpsons-8x18-homer-vs-the-eighteenth-amendment"
172,8,19,06 Apr 97,"Grade School Confidential","https://www.tvmaze.com/episodes/5169/the-simpsons-8x19-grade-school-confidential"
173,8,20,13 Apr 97,"The Canine Mutiny","https://www.tvmaze.com/episodes/5170/the-simpsons-8x20-the-canine-mutiny"
174,8,21,20 Apr 97,"The Old Man and Lisa","https://www.tvmaze.com/episodes/5171/the-simpsons-8x21-the-old-man-and-lisa"
175,8,22,27 Apr 97,"In Marge We Trust","https://www.tvmaze.com/episodes/5172/the-simpsons-8x22-in-marge-we-trust"
176,8,23,04 May 97,"Homer's Enemy","https://www.tvmaze.com/episodes/5173/the-simpsons-8x23-homers-enemy"
177,8,24,11 May 97,"The Simpsons Spin-Off Showcase","https://www.tvmaze.com/episodes/5174/the-simpsons-8x24-the-simpsons-spin-off-showcase"
178,8,25,18 May 97,"The Secret War of Lisa Simpson","https://www.tvmaze.com/episodes/5175/the-simpsons-8x25-the-secret-war-of-lisa-simpson"
179,9,1,21 Sep 97,"The City of New York vs. Homer Simpson","https://www.tvmaze.com/episodes/5176/the-simpsons-9x01-the-city-of-new-york-vs-homer-simpson"
180,9,2,28 Sep 97,"The Principal and the Pauper","https://www.tvmaze.com/episodes/5177/the-simpsons-9x02-the-principal-and-the-pauper"
181,9,3,19 Oct 97,"Lisa's Sax","https://www.tvmaze.com/episodes/5178/the-simpsons-9x03-lisas-sax"
182,9,4,26 Oct 97,"Treehouse of Horror VIII","https://www.tvmaze.com/episodes/5179/the-simpsons-9x04-treehouse-of-horror-viii"
183,9,5,02 Nov 97,"The Cartridge Family","https://www.tvmaze.com/episodes/5180/the-simpsons-9x05-the-cartridge-family"
184,9,6,09 Nov 97,"Bart Star","https://www.tvmaze.com/episodes/5181/the-simpsons-9x06-bart-star"
185,9,7,16 Nov 97,"The Two Mrs. Nahasapeemapetilons","https://www.tvmaze.com/episodes/5182/the-simpsons-9x07-the-two-mrs-nahasapeemapetilons"
186,9,8,23 Nov 97,"Lisa the Skeptic","https://www.tvmaze.com/episodes/5183/the-simpsons-9x08-lisa-the-skeptic"
187,9,9,07 Dec 97,"Realty Bites","https://www.tvmaze.com/episodes/5184/the-simpsons-9x09-realty-bites"
188,9,10,21 Dec 97,"Miracle on Evergreen Terrace","https://www.tvmaze.com/episodes/5185/the-simpsons-9x10-miracle-on-evergreen-terrace"
